Name,Market,Price,CategoryName,CaloriesPer100g,ProteinPer100g,CarbsPer100g,FatPer100g
Banvit 1 kg Piliç Kanat,Carrefoursa,"142,00 TL",et-tavuk-ve-balik,165,31,0,3.6
Lezita 1 kg Tabaklı Izgara Üst Kanat,Carrefoursa,"179,90 TL",et-tavuk-ve-balik,165,31,0,3.6
Torku 1 kg Blok Kavurma,Bim,"599,00 TL",et-tavuk-ve-balik,250,26,0,20
"Banvit 1,5 kg But Kalçalı Piliç",Carrefoursa,"107,70 TL",et-tavuk-ve-balik,165,31,0,3.6
Hak-Et 500 gr Yağsız Dana Kıyma,Hakmarekspress,"172,00 TL",et-tavuk-ve-balik,250,26,0,20
1 kg Kasap Köfte,Carrefoursa,"549,90 TL",et-tavuk-ve-balik,250,26,0,20
1 kg Dana Kıyma %14-20 Yağ,Carrefoursa,"529,90 TL",et-tavuk-ve-balik,250,26,0,20
1 kg Dana Kuşbaşı,Carrefoursa,"579,90 TL",et-tavuk-ve-balik,250,26,0,20
Beşler 500 gr Dondurulmuş Kuşbaşı Dana,a101,"157,90 TL",et-tavuk-ve-balik,250,26,0,20
Banvit 1 kg Bonfile Göğüs,Tarım Kredi Kooperatifi,"199,00 TL",et-tavuk-ve-balik,165,31,0,3.6
Banvit 1 kg Piliç Baget,a101,"79,50 TL",et-tavuk-ve-balik,165,31,0,3.6
Tarım Kredi 1 kg Dana Donuk İlikli Kemik,Tarım Kredi Kooperatifi,"75,90 TL",et-tavuk-ve-balik,250,26,0,20
Yeşilküre 1 kg Organik Bütün Tavuk,Carrefoursa,"449,00 TL",et-tavuk-ve-balik,165,31,0,3.6
Zencefil Organik 20 mt Yerli Sucuk Bağırsağı,PttAVM,"1.124,46 TL",et-tavuk-ve-balik,80,1.8,18.0,0.8
Gedik 1 kg Piliç Ciğer Yürek,Getir Büyük,"30,00 TL",et-tavuk-ve-balik,165,31,0,3.6
Torku 500 gr Dana Kangal Sucuk,Bim,"185,00 TL",et-tavuk-ve-balik,380,14,2,35
Pınar 430 gr Soyulmuş Dana Sosis,PınarOnline,"209,00 TL",et-tavuk-ve-balik,250,26,0,20
1 kg 300-400 Çipura,Carrefoursa,"279,00 TL",et-tavuk-ve-balik,84,18,0,1
Cumhuriyet Sucukları 500 gr Dana Sucuk,afyongıda,"485,00 TL",et-tavuk-ve-balik,432,16,2,40
Sultan 250 gr Dana Biftek,Getir Büyük,"197,50 TL",et-tavuk-ve-balik,250,26,0,20
Şehzade 1 kg Seçme Pastırma,PttAVM,"1.070,07 TL",et-tavuk-ve-balik,200,30,3,5
1 kg Dana Biftek,Carrefoursa,"669,90 TL",et-tavuk-ve-balik,250,26,0,20
Banvit 1 kg Piliç Pirzola,a101,"129,75 TL",et-tavuk-ve-balik,165,31,0,3.6
1 kg Kemikli İnciksiz Kuzu Yarım Kol,Carrefoursa,"796,90 TL",et-tavuk-ve-balik,226,16,0,18
Kocaman 500 gr Dondurulmuş Karides,Getir Büyük,"287,50 TL",et-tavuk-ve-balik,106,20,1,2
Keskinoğlu 1 kg Bütün Piliç,Tarım Kredi Kooperatifi,"70,90 TL",et-tavuk-ve-balik,165,31,0,3.6
Cumhuriyet 500 gr Acılı Parmak Sucuk,afyongıda,"485,00 TL",et-tavuk-ve-balik,389,16,1.5,40
Apikoğlu 3x1400 gr 100 Yıllık Formül Klasik Kangal Sucuk,Amazon,"1.915,00 TL",et-tavuk-ve-balik,380,14,2,35
Lezita 1 kg Derisiz But Izgara Tavuk Tava,Carrefoursa,"189,90 TL",et-tavuk-ve-balik,165,31,0,3.6
Sultan 400 gr %20 Yağlı Dana Kıyma,Getir Büyük,"247,50 TL",et-tavuk-ve-balik,250,26,0,20
Namet Dana Kıyma % 20 Yağlı 400 gr,Getir Büyük,"261,50 TL",et-tavuk-ve-balik,250,26,0,20
Banvit 700 gr Piliç Nugget,Carrefoursa,"79,90 TL",et-tavuk-ve-balik,48,2.5,2.5,3
Pınar 180 gr Şölen Dana Sucuk,PınarOnline,"98,08 TL",et-tavuk-ve-balik,432,16,2,40
Pınar 500 gr Kasap Dana Kıyma,PınarOnline,"299,00 TL",et-tavuk-ve-balik,250,26,0,20
"Lezita 1,5 kg Taze Poşetli Bütün Piliç",Carrefour,"79,90 TL",et-tavuk-ve-balik,165,31,0,3.6
Bolca 1 kg Hindi Baget,Carrefoursa,"240,90 TL",et-tavuk-ve-balik,107,25,0,1
Erpiliç 1 kg Piliç Pirzola,Getir Büyük,"199,50 TL",et-tavuk-ve-balik,165,31,0,3.6
Marines Deluxe 1000 g Karides,Carrefoursa,"319,00 TL",et-tavuk-ve-balik,106,20,1,2
Banvit 275 gr Piliç Çıtır Burger,Getir Büyük,"59,50 TL",et-tavuk-ve-balik,165,31,0,3.6
Pınar 225 gr Klasik Kangal Sucuk,PınarOnline,"200,00 TL",et-tavuk-ve-balik,380,14,2,35
1 kg Dana Döş Sarma,Carrefoursa,"559,90 TL",et-tavuk-ve-balik,250,26,0,20
Sultan 250 gr Dana Dilimli Antrikot,Getir Büyük,"254,50 TL",et-tavuk-ve-balik,165,20,0,9
Başyazıcı 150 gr Dana Kavurma,Getir Büyük,"167,50 TL",et-tavuk-ve-balik,250,26,0,20
Bolca 1 kg Kemiksiz Hindi Pirzola,Carrefoursa,"314,90 TL",et-tavuk-ve-balik,107,25,0,1
Bolca 1 kg Tabaklı Hindi Sote But,Carrefoursa,"435,90 TL",et-tavuk-ve-balik,107,25,0,1
Lezita 1 kg Tabaklı Baget,Carrefour,"99,90 TL",et-tavuk-ve-balik,81,10,0,4
Banvit 1150 gr Piliç Bonfile Göğüs,a101,"189,00 TL",et-tavuk-ve-balik,165,31,0,3.6
Balık Dünyası 440 gr Dondurulmuş Dilim Somon,Şok,"69,25 TL",et-tavuk-ve-balik,146,22,0,6
Mezzemarin 200 gr Torik Lakerda,Getir Büyük,"181,50 TL",et-tavuk-ve-balik,,,,
Greenvillage 1700-1900 gr Organik Piliç,Şok,"410,20 TL",et-tavuk-ve-balik,165,31,0,3.6
Dardanel 4x75 gr Zeytinyağlı Ton Balığı,idefix,"266,60 TL",et-tavuk-ve-balik,193,24,0,11
Sultan 400 gr Dana Kuşbaşı,Getir Büyük,"264,99 TL",et-tavuk-ve-balik,250,26,0,20
Başyazıcı 500 gr Füme Dil,PttAVM,"1.624,12 TL",et-tavuk-ve-balik,282,19,0,22
Fümeci Smokehouse 1 kg Füme Dil,idefix,"3.424,57 TL",et-tavuk-ve-balik,282,19,0,22
Namet Dana Kuşbaşı Yemeklik 400 gr,Getir Büyük,"275,50 TL",et-tavuk-ve-balik,250,26,0,20
Sultan 3x90 gr Dana Hamburger Köfte,Getir Büyük,"157,50 TL",et-tavuk-ve-balik,250,26,0,20
Banvit 1 kg Tabak Piliç Izgara Kanat,Tarım Kredi Kooperatifi,"195,00 TL",et-tavuk-ve-balik,165,31,0,3.6
Beşler Et ve Gıda 500 gr Dana İlikli Kemik,a101,"35,00 TL",et-tavuk-ve-balik,250,26,0,20
Gedik 200 gr Piliç Acılı Çıtır Bonfile,Getir Büyük,"49,99 TL",et-tavuk-ve-balik,165,31,0,3.6
Namet 250 gr Pişmiş Dana Parmak Köfte,Getir Büyük,"116,99 TL",et-tavuk-ve-balik,250,26,0,20
Polonez 200 gr Dana Kokteyl Sosis,Getir Büyük,"169,99 TL",et-tavuk-ve-balik,250,26,0,20
Pınar 22x50 gr Aç Bitir Büyük Dilim Fıstıklı Hindi Salam,PınarOnline,"295,35 TL",et-tavuk-ve-balik,107,25,0,1
Başyazıcı 80 gr İnan Seçme Pastırma,Carrefour,"99,90 TL",et-tavuk-ve-balik,200,30,3,5
Erpiliç 1 kg Kalçalı But Piliç,Carrefoursa,"95,90 TL",et-tavuk-ve-balik,165,31,0,3.6
Pınar 500 gr Kasap Kemiksiz Derisiz Hindi But,PınarOnline,"203,91 TL",et-tavuk-ve-balik,107,25,0,1
Emin 400 gr %20 Yağlı Dana Kıyma,Bim,"189,00 TL",et-tavuk-ve-balik,250,26,0,20
Erpiliç 1 kg Kalçalı But Piliç,Carrefoursa,"95,90 TL",et-tavuk-ve-balik,165,31,0,3.6
Şahin 300 gr Fermente Sucuk,PttAVM,"377,39 TL",et-tavuk-ve-balik,432,16,2,40
Pınar 2x900 gr Hindi Büfe Salam,idefix,"528,90 TL",et-tavuk-ve-balik,107,25,0,1
Banvit 750 gr Soslu Piliç Kök Kanat,Carrefour,"142,00 TL",et-tavuk-ve-balik,165,31,0,3.6
Namet 200 gr Hindi Füme Et,Getir Büyük,"98,50 TL",et-tavuk-ve-balik,129,25,0,3
Tarım Kredi 1 kg Karkas Kuzu,Tarım Kredi Kooperatifi,"510,00 TL",et-tavuk-ve-balik,226,16,0,18
Banvit 2 kg Roaster Bütün Piliç,Carrefour,"92,50 TL",et-tavuk-ve-balik,165,31,0,3.6
Bonfilet 400 gr Dana Yağsız Kuşbaşı,Getir Büyük,"281,99 TL",et-tavuk-ve-balik,250,26,0,20
1 kg Dana Taskebap,Carrefoursa,"669,90 TL",et-tavuk-ve-balik,250,26,0,20
Molu 1 kg Anadolu Usulü Evlik Parmak Sucuk,idefix,"770,00 TL",et-tavuk-ve-balik,389,16,1.5,40
Haket 300 gr Yağsız Dana Kuşbaşı,Hakmarekspress,"79,00 TL",et-tavuk-ve-balik,250,26,0,20
Günaydın 580 gr Dana Kuzu Karışık Kıyma,Getir Büyük,"543,50 TL",et-tavuk-ve-balik,250,26,0,20
Danet 5x60 gr Dilimli Hindi Füme,Pazarama,"260,00 TL",et-tavuk-ve-balik,107,25,0,1
Red Tiger 300 gr Pane Karides Topu,Carrefour,"294,00 TL",et-tavuk-ve-balik,106,20,1,2
Erşan 90 gr Dana Sucuk,Getir Büyük,"73,50 TL",et-tavuk-ve-balik,432,16,2,40
Besler 190 gr Isıl İşlem Dana Sucuk,PttAVM,"208,01 TL",et-tavuk-ve-balik,432,16,2,40
Danet 250 gr Dana Uzun Sosis,Pazarama,"250,00 TL",et-tavuk-ve-balik,250,26,0,20
Dardanel 12x140 gr Klasik Ton Balığı,PttAVM,"838,66 TL",et-tavuk-ve-balik,193,24,0,11
Cumhuriyet Kangal Dana Sucuk 6 x 220 gr,idefix,"1.550,00 TL",et-tavuk-ve-balik,432,16,2,40
Zencefil Organik 10 mt Yerli Sucuk Bağırsağı,PttAVM,"546,75 TL",et-tavuk-ve-balik,80,1.8,18.0,0.8
Başyazıcı 120 gr Dilimli Dana Çemeni Sıyrılmış Pastırma,Getir Büyük,"202,50 TL",et-tavuk-ve-balik,200,30,3,5
Dardanel 10x140 gr Zeytinyağlı Ton Balığı,PttAVM,"1.048,32 TL",et-tavuk-ve-balik,193,24,0,11
Dardanel 2x3x140 gr Klasik Ton Balığı,PttAVM,"567,84 TL",et-tavuk-ve-balik,193,24,0,11
Namet 250 gr Dana Kangal Sucuk,Hakmarekspress,"120,00 TL",et-tavuk-ve-balik,380,14,2,35
Bolca 500 gr Hindi Dilimli Göğüs,a101,"145,00 TL",et-tavuk-ve-balik,107,25,0,1
Keskinoğlu 850 gr Piliç Büfe Salam,Şok,"59,90 TL",et-tavuk-ve-balik,165,31,0,3.6
Torku Dilimli 60 gr Macar Salam,a101,"35,00 TL",et-tavuk-ve-balik,15,0.75,0.11,1
Lezita 1 kg Baget Piliç,a101,"79,50 TL",et-tavuk-ve-balik,165,31,0,3.6
Gönbeler 3 kg Dana Antrikot,Amazon,"3.087,00 TL",et-tavuk-ve-balik,165,20,0,9
Polonez 50 gr Hindi Füme Eti Salam,Getir Büyük,"37,50 TL",et-tavuk-ve-balik,107,25,0,1
Beypiliç 1 kg Tavuk Kelebek Pirzola,Tarım Kredi Kooperatifi,"109,90 TL",et-tavuk-ve-balik,165,31,0,3.6
Pınar Taze Dilimlenmiş 10 Dilim 75 gr Aç Bitir Hindi Salam,PınarOnline,"34,90 TL",et-tavuk-ve-balik,107,25,0,1
Gurmepark 1 kg Boşnak Kuru Et,PttAVM,"2.129,59 TL",et-tavuk-ve-balik,185,35,0,5
Zencefil Organik 40 mt Yerli Sucuk Bağırsağı,PttAVM,"2.072,61 TL",et-tavuk-ve-balik,80,1.8,18.0,0.8
Erpiliç 1 kg Piliç Göğüs Sote,Getir Büyük,"295,50 TL",et-tavuk-ve-balik,165,31,0,3.6
Maret 5'li 210 gr Hindi Uzun Sosis,Getir Büyük,"61,99 TL",et-tavuk-ve-balik,107,25,0,1
1 kg Kuzu Külbastı,Carrefoursa,"951,90 TL",et-tavuk-ve-balik,226,16,0,18
Banvit 1 kg Piliç Izgara Tava,Tarım Kredi Kooperatifi,"219,50 TL",et-tavuk-ve-balik,165,31,0,3.6
Bolca 500 gr Hindi Külbastı,Şok,"154,95 TL",et-tavuk-ve-balik,107,25,0,1
Banvit 1 kg Piliç Roaster,a101,"89,00 TL",et-tavuk-ve-balik,165,31,0,3.6
Lezita 1 kg Üst Kanat Piliç,a101,"175,00 TL",et-tavuk-ve-balik,165,31,0,3.6
Balık Dünyası 300 gr Jumbo Et Karides,Carrefour,"174,00 TL",et-tavuk-ve-balik,106,20,1,2
Tarım Kredi 400 gr Donuk Dana Kuşbaşı,Tarım Kredi Kooperatifi,"185,00 TL",et-tavuk-ve-balik,250,26,0,20
Gedik Piliç 250 gr Kangal Sucuk,Getir Büyük,"33,99 TL",et-tavuk-ve-balik,380,14,2,35
Kocaman 1000 gr Kabuklu Midye,Carrefour,"204,99 TL",et-tavuk-ve-balik,,,,
Haket 1 kg Dana Et Sote,Hakmarekspress,"599,00 TL",et-tavuk-ve-balik,250,26,0,20
Pınar Şölen Acılı 180 gr Kangal Sucuk,PınarOnline,"100,00 TL",et-tavuk-ve-balik,380,14,2,35
Erpiliç Derili But Pirzola Tabak 1 kg,Tarım Kredi Kooperatifi,"149,00 TL",et-tavuk-ve-balik,165,31,0,3.6
Öncü 650 gr Közlenmiş Patlıcan,Amazon-prime,"71,00 TL",et-tavuk-ve-balik,45,2,11,0.30
Vie Life 180 gr Düşük Proteinli Acılı Sucuk Karışımı,Vegan Pazaryeri,"144,90 TL",et-tavuk-ve-balik,432,16,2,40
Gurmepark Katkısız 1 kg Hindi Füme Kuru Et,PttAVM,"950,17 TL",et-tavuk-ve-balik,185,35,0,5
Hana 3x200 gr Piliç Salam,Amazon,"149,00 TL",et-tavuk-ve-balik,165,31,0,3.6
Apikoğlu 5x70 gr Dilimli Dana Füme Dil,Amazon,"1.120,00 TL",et-tavuk-ve-balik,282,19,0,22
Ege Ciğercisi 500 gr Dana Böbrek,Carrefoursa,"89,90 TL",et-tavuk-ve-balik,250,26,0,20
Pınar 2x250 gr Gurme Sucuk,idefix,"538,93 TL",et-tavuk-ve-balik,430,16,1.5,40
Başyazıcı Efsane Parmak Sucuk 400 gr,Getir Büyük,"285,99 TL",et-tavuk-ve-balik,389,16,1.5,40
Danet 5x50 gr Dilimli Dana Macar Salam,Pazarama,"295,00 TL",et-tavuk-ve-balik,15,0.75,0.11,1
Red Tiger 2x250 gr Stick Yengeç Surimi,Amazon,"799,00 TL",et-tavuk-ve-balik,101,20,0,2
Pınar 300 gr Hindi Mangal Sucuk,PınarOnline,"119,00 TL",et-tavuk-ve-balik,107,25,0,1
Başyazıcı 500 gr Fermente Acısız Evlik Parmak Sucuk,PttAVM,"697,44 TL",et-tavuk-ve-balik,389,16,1.5,40
Cumhuriyet 90 gr Çemensiz Dilimli Pastırma,PttAVM,"295,18 TL",et-tavuk-ve-balik,200,30,3,5
Gönbeler 2 kg Hafif Yağlı Dana Antrikot,Amazon,"2.078,00 TL",et-tavuk-ve-balik,165,20,0,9
Cumhuriyet %100 Dana 1 kg Kangal Fermente Sucuk,PttAVM,"1.343,31 TL",et-tavuk-ve-balik,432,16,2,40
Danet 100 gr Dana Kavurma,Pazarama,"180,00 TL",et-tavuk-ve-balik,250,26,0,20
Gönbeler 1 kg Kuşbaşı + 1 kg Sucuk,Amazon,"1.448,00 TL",et-tavuk-ve-balik,250,26,0,20
Polonez 150 gr Füme Piliç,Getir Büyük,"49,99 TL",et-tavuk-ve-balik,165,31,0,3.6
Keskinoğlu 250 gr Piliç Kangal Sucuk,a101,"35,00 TL",et-tavuk-ve-balik,380,14,2,35
Lezita 250 gr Piliç Kangal Sucuk,a101,"35,00 TL",et-tavuk-ve-balik,380,14,2,35
Erpiliç 260 gr Piliç Parmak Köfte,Getir Büyük,"75,99 TL",et-tavuk-ve-balik,165,31,0,3.6
Şenpiliç 1 kg Poşetli Bütün Piliç,Tarım Kredi Kooperatifi,"92,25 TL",et-tavuk-ve-balik,165,31,0,3.6
Beypiliç 1 kg Tabak Kanat Izgara,Tarım Kredi Kooperatifi,"198,50 TL",et-tavuk-ve-balik,165,31,0,3.6
Balık Dünyası 500 gr Dondurulmuş Karides,Carrefour,"239,00 TL",et-tavuk-ve-balik,106,20,1,2
İmren 750 gr Piliç Kanat Izgara,Şok,"177,60 TL",et-tavuk-ve-balik,165,31,0,3.6
Balık Dünyası 500 gr Dondurulmuş Uskumru Fileto,Şok,"79,00 TL",et-tavuk-ve-balik,250,23,1,17
Gurmepark Roastbeef 250 gr Tütsülenmiş Dana Füme Et Kekikli Az Yağlı Katkısız,idefix,"662,47 TL",et-tavuk-ve-balik,129,25,0,3
Polonez 240 gr Acılı Dana Kangal Sucuk,a101,"149,00 TL",et-tavuk-ve-balik,380,14,2,35
Fish Fish Kayıkçı %50 Glaze 500 gr Karides,Şok,"199,00 TL",et-tavuk-ve-balik,106,20,1,2
Tombik 300 gr Baton Piliç Sucuk,Bim,"49,50 TL",et-tavuk-ve-balik,165,31,0,3.6
Kuzuoglu 400 gr Dilim Fileto Vakumlu Somon,Tarım Kredi Kooperatifi,"209,90 TL",et-tavuk-ve-balik,146,22,0,6
Ettat 500 gr Dana Kıyma,a101,"109,00 TL",et-tavuk-ve-balik,250,26,0,20
Nora 250 gr Dondurulmuş Midye Dolma,Carrefour,"149,99 TL",et-tavuk-ve-balik,30,2,3,1
Torku 100 gr Dana Kavurma,a101,"89,00 TL",et-tavuk-ve-balik,250,26,0,20
Fümeci Smokehouse 500 gr %100 Dana Cotto,idefix,"1.226,77 TL",et-tavuk-ve-balik,250,26,0,20
Pınar 265 gr Füme Hindi Cheddarlı Jumbo Sosis,PınarOnline,"77,28 TL",et-tavuk-ve-balik,107,25,0,1
Molu 150 gr Dilimli Füme Dil,idefix,"420,00 TL",et-tavuk-ve-balik,282,19,0,22
Carrefour 500 gr Dana Sac Kavurma,Carrefoursa,"731,90 TL",et-tavuk-ve-balik,250,26,0,20
Mezzemarin 200 gr Ahtapot Salatası,Carrefour,"239,00 TL",et-tavuk-ve-balik,82,15,2,1
Gedik 300 gr Çıtır Gevrek Susamlı Piliç,Getir Büyük,"64,99 TL",et-tavuk-ve-balik,367,6.5,83,1.5
İbrahim Mazlum 500 gr Afyon Dana Kangal Sucuk,Amazon,"599,00 TL",et-tavuk-ve-balik,380,14,2,35
Sasu 2x160 gr Acılı Ton Balık,PttAVM,"181,79 TL",et-tavuk-ve-balik,193,24,0,11
Molu Et 500 gr Coğrafi İşaretli Kayseri Sucuğu,Amazon,"525,00 TL",et-tavuk-ve-balik,,,,
Bolca 500 gr Hindi Göğüs Sote,a101,"145,00 TL",et-tavuk-ve-balik,107,25,0,1
Torku Dilimli Kavurma 100 gr,emekpazari,"144,62 TL",et-tavuk-ve-balik,250,26,0,20
Kalkavan 1 kg Ekstra Kavurma,Tarım Kredi Kooperatifi,"699,90 TL",et-tavuk-ve-balik,250,26,0,20
Balık Dünyası 500 gr Norveç Fileto Somon,Şok,"359,90 TL",et-tavuk-ve-balik,146,22,0,6
Aytaç 250 gr Gurme Dana Sucuk,Şok,"179,00 TL",et-tavuk-ve-balik,432,16,2,40
Namet Sofram 250 gr Piliç Kokteyl Sosis,PttAVM,"84,70 TL",et-tavuk-ve-balik,165,31,0,3.6
Lezita 270 gr Schnitzel Piliç,Carrefour,"44,90 TL",et-tavuk-ve-balik,165,31,0,3.6
Tarım Kredi 400 gr %20 Yağlı Map Tabak Dana Kıyma,Tarım Kredi Kooperatifi,"209,00 TL",et-tavuk-ve-balik,250,26,0,20
Mesut Et 120 gr Çemensiz Coğrafi İşaretli Kayseri El Doğrama Antrikot Dilim Pastırma,idefix,"310,00 TL",et-tavuk-ve-balik,200,30,3,5
Molu Kırıntı 1 kg Pastırma,Amazon,"1.112,00 TL",et-tavuk-ve-balik,200,30,3,5
Bahar 2x120 gr Pişmiş Hindi Fileto,Carrefour,"191,90 TL",et-tavuk-ve-balik,107,25,0,1
Tk 1 kg Donuk Dana Kavurma,Tarım Kredi Kooperatifi,"899,90 TL",et-tavuk-ve-balik,250,26,0,20
Tarım Kredi 1 kg Kuzu Pirzola,Tarım Kredi Kooperatifi,"969,90 TL",et-tavuk-ve-balik,226,16,0,18
Gönbeler 3 kg Dana Eti Sucuk,PttAVM,"1.421,56 TL",et-tavuk-ve-balik,432,16,2,40
Erpiliç 1 kg Piliç Julyen Bonfile,Getir Büyük,"272,99 TL",et-tavuk-ve-balik,165,31,0,3.6
Sasu Blue 160 gr Acılı Ton Balığı,PttAVM,"90,90 TL",et-tavuk-ve-balik,193,24,0,11
Sofra Bizden 250 gr Kurutulmuş Balkan Salam,idefix,"359,10 TL",et-tavuk-ve-balik,58,3,1,5
Fümeci 200 gr Smokehouse Fümeci Kekikli Italyan Salam,idefix,"449,10 TL",et-tavuk-ve-balik,354,21,0,30
Danet 250 gr Pastırma,idefix,"431,10 TL",et-tavuk-ve-balik,200,30,3,5
Super Fresh 24x150 gr Ton Balığı,idefix,"2.150,00 TL",et-tavuk-ve-balik,193,24,0,11
Gurmepark 250 gr Göden Sade Sucuk,PttAVM,"374,50 TL",et-tavuk-ve-balik,432,16,2,40
İmamoğlu 500 gr Evlik Parmak Sucuk,PttAVM,"799,00 TL",et-tavuk-ve-balik,389,16,1.5,40
Akalp Çiftliği 1 kg Maraş Kasap Et Sucuğu,PttAVM,"1.449,90 TL",et-tavuk-ve-balik,,,,
Danet 1 kg Fermente Klasik Kangal Sucuk,Pazarama,"1.200,00 TL",et-tavuk-ve-balik,380,14,2,35
Danet 400 gr Dilimli Piliç Jambon,Pazarama,"290,00 TL",et-tavuk-ve-balik,165,31,0,3.6
Danet 2x700 gr Baton Piliç Salam,Pazarama,"450,00 TL",et-tavuk-ve-balik,165,31,0,3.6
Afyon Sucuk Lokum 2 kg Dana Eti Sucuk,PttAVM,"1.324,17 TL",et-tavuk-ve-balik,432,16,2,40
AfyonKarahisar 2 kg Dana Eti Sucuk,PttAVM,"964,08 TL",et-tavuk-ve-balik,432,16,2,40
Danet 3 kg Dana Örgülü Karabiberli Ispanyol Salam,Pazarama,"3.100,00 TL",et-tavuk-ve-balik,195,10,7,15
Danet 5x200 gr Baton Piliç Salam,Pazarama,"400,00 TL",et-tavuk-ve-balik,165,31,0,3.6
Danet 1250 gr Dana Baton Macar Salam,Pazarama,"1.350,00 TL",et-tavuk-ve-balik,15,0.75,0.11,1
Danet Dana Salam Macar 250 gr,Pazarama,"290,00 TL",et-tavuk-ve-balik,58,3,1,5
Pınar Şölen Acılı 3x180 gr Kangal Sucuk,PınarOnline,"316,33 TL",et-tavuk-ve-balik,380,14,2,35
Danet 2 kg Dana İspanyol Tadımlık Salam,Pazarama,"2.100,00 TL",et-tavuk-ve-balik,58,3,1,5
Doruk 500 gr Dana Sucuk,PttAVM,"491,97 TL",et-tavuk-ve-balik,432,16,2,40
Baştacı 60 gr Mini Dana Dilimli Fıstıklı Salam,a101,"19,00 TL",et-tavuk-ve-balik,58,3,1,5
Kocaşaban Sucukları 500 gr Antrikot Pastırma,idefix,"1.250,00 TL",et-tavuk-ve-balik,200,30,3,5
Kocaşaban 1 kg Dana Kangal Sucuk,idefix,"1.100,00 TL",et-tavuk-ve-balik,380,14,2,35
Kocaşaban 1 kg Pastırma,idefix,"1.100,00 TL",et-tavuk-ve-balik,200,30,3,5
Pınar 240 gr Fish Finger,PınarOnline,"183,90 TL",et-tavuk-ve-balik,185,14,13,8
Pınar 110 gr Göğüs Füme Hindi Gurme,PınarOnline,"53,83 TL",et-tavuk-ve-balik,110,21,1,3
Özden 300 gr Piliç Dilimli Sucuk,PttAVM,"74,29 TL",et-tavuk-ve-balik,165,31,0,3.6
Başyazıcı 125 gr Dana Yarım Ay Sucuk,Getir Büyük,"132,50 TL",et-tavuk-ve-balik,432,16,2,40
Gönbeler 1 kg Acısız Dana Eti Sucuk,PttAVM,"490,22 TL",et-tavuk-ve-balik,432,16,2,40
Otantik 1 kg Irişgirik Acılı Kayseri Sucuk,PttAVM,"1.190,00 TL",et-tavuk-ve-balik,432,16,2,40
Gurmepark 250 gr Hindi Füme Göğüs Eti,PttAVM,"343,61 TL",et-tavuk-ve-balik,107,25,0,1
Dardanel 12x75 gr Light Ton Balığı,PttAVM,"742,56 TL",et-tavuk-ve-balik,193,24,0,11
Dardanel Klasik 12 x 75 gr Ton Balığı,PttAVM,"694,51 TL",et-tavuk-ve-balik,193,24,0,11
Pınar 90 gr Kasap Dana Kaburga Füme,PınarOnline,"180,90 TL",et-tavuk-ve-balik,250,26,0,20
Coşkun 250 gr Dana Sucuk,PttAVM,"338,24 TL",et-tavuk-ve-balik,432,16,2,40
Sucuk Lokum Afyon 2 kg Baton Sucuk,PttAVM,"1.471,48 TL",et-tavuk-ve-balik,399,14,7,35
AfyonKarahisar 1 kg Dana Eti Sucuk,PttAVM,"817,58 TL",et-tavuk-ve-balik,432,16,2,40
Gurmepark 250 gr Sade Az Yağlı Katkısız Roastbeef Tütsülenmiş Dana Füme Et,PttAVM,"557,03 TL",et-tavuk-ve-balik,129,25,0,3
Marex 400 gr Balık Lokum,Carrefour,"434,99 TL",et-tavuk-ve-balik,80,15,0,1
Haket 1 kg Kuzu Sac Kavurma,Hakmarekspress,"720,50 TL",et-tavuk-ve-balik,250,26,0,20
Haket 1 kg Kuzu Gerdan,Hakmarekspress,"654,50 TL",et-tavuk-ve-balik,226,16,0,18
Haket 1 kg Kuzu Kuşbaşı,Hakmarekspress,"929,50 TL",et-tavuk-ve-balik,250,26,0,20
Gurmepark 250 gr Boşnak Kuru Et,idefix,"647,62 TL",et-tavuk-ve-balik,185,35,0,5
Pınar Doyum 225 gr Kangal Sucuk,idefix,"137,50 TL",et-tavuk-ve-balik,380,14,2,35
Pınar 460 gr Büfe Sosis,PınarOnline,"249,00 TL",et-tavuk-ve-balik,,,,
İkbal 70 gr Dana Füme Kaburga,idefix,"270,00 TL",et-tavuk-ve-balik,250,26,0,20
Pınar 90 gr Kasap Dana Dil Füme,PınarOnline,"199,00 TL",et-tavuk-ve-balik,250,26,0,20
Cumhuriyet 2x300 gr Vakumlu Fermente Kangal Sucuk,idefix,"750,00 TL",et-tavuk-ve-balik,380,14,2,35
Dardanel Klasik 6 x 75 gr Ton Balığı,idefix,"360,00 TL",et-tavuk-ve-balik,193,24,0,11
Namet 60 gr Dana Jambon,Carrefoursa,"44,90 TL",et-tavuk-ve-balik,250,26,0,20
Pınar 900 gr Hindi Büfe Salam,PınarOnline,"250,90 TL",et-tavuk-ve-balik,107,25,0,1
Molu Et 500 gr Ege Usulü Kangal Sucuk,idefix,"470,00 TL",et-tavuk-ve-balik,380,14,2,35
Erşan 100 gr Dana Kuru Et,Çiçeksepeti,"479,90 TL",et-tavuk-ve-balik,185,35,0,5
Frosta Chefs' Choice Back 200 gr Bacon,Carrefour,"899,90 TL",et-tavuk-ve-balik,,,,
Polonez 1 kg Dana Dilimli Antrikot Pastırma,Carrefour,"2.949,90 TL",et-tavuk-ve-balik,200,30,3,5
Frosta 180 gr Kometa Bacon,Carrefour,"899,90 TL",et-tavuk-ve-balik,,,,
